OBJECTID;COD_PROG;INDIRIZZO;TIPO_MACRO;R10;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
291;A450;VIA ANDOLFATO EZIO 12;INDUSTRIALE;SI;2;16;GORLA - PRECOTTO;9.22040834748322;45.515678989728;(45.515678989728, 9.22040834748322)
292;A452;VIA DE MARCHI EMILIO 64;PRODUTTIVO;SI;2;13;GRECO - SEGNANO;9.21177877512271;45.5035722503324;(45.5035722503324, 9.21177877512271)
293;A453;VIA ROMANI FELICE 7;INDUSTRIALE;SI;2;13;GRECO - SEGNANO;9.20846794487352;45.5032525148459;(45.5032525148459, 9.20846794487352)
294;A454;VIA ROMANI FELICE 5;INDUSTRIALE;SI;2;13;GRECO - SEGNANO;9.2087059358545;45.5032830054578;(45.5032830054578, 9.2087059358545)
295;A455;VIA STELLA ANTONIO FORTUNATO 6;INDUSTRIALE;SI;2;13;GRECO - SEGNANO;9.20866266811442;45.5028912022294;(45.5028912022294, 9.20866266811442)
296;A456;VIA AQUILA snc;PRODUTTIVO;SI;3;24;PARCO FORLANINI - CAVRIANO;9.24856026402307;45.4697206970732;(45.4697206970732, 9.24856026402307)
297;A459;VIA FILIPPINO DEGLI ORGANI 6;RESIDENZIALE;SI;4;28;UMBRIA - MOLISE - CALVAIRATE;9.2166025168742;45.454096448551;(45.454096448551, 9.2166025168742)
298;A462;VIA COTTOLENGO SAN GIUSEPPE 31;INDUSTRIALE;SI;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.14478016913274;45.4413499846291;(45.4413499846291, 9.14478016913274)
299;A464;VIA LAMARMORA ALFONSO 23-27;RESIDENZIALE;SI;1;4;GUASTALLA;9.20028270288014;45.4569666986433;(45.4569666986433, 9.20028270288014)
300;A468;VIA METAURO 9-29;RESIDENZIALE;SI;6;49;GIAMBELLINO;9.14894860649717;45.4518307573282;(45.4518307573282, 9.14894860649717)
301;A469;VIA TOGNAZZI UGO snc;RESIDENZIALE;SI;2;17;ADRIANO;9.24056109641216;45.5177100762784;(45.5177100762784, 9.24056109641216)
302;A472;VIA WATT GIACOMO 44-46;INDUSTRIALE;SI;6;45;MONCUCCO - SAN CRISTOFORO;9.14876391901042;45.4434167196912;(45.4434167196912, 9.14876391901042)
303;A474;VIA CIRENEI LUIGI 4;RESIDENZIALE;SI;2;16;GORLA - PRECOTTO;9.22965014460918;45.5074283941899;(45.5074283941899, 9.22965014460918)
304;A478;VIA ARRIGHI CLETTO 4;PRODUTTIVO;SI;3;23;LAMBRATE - ORTICA;9.24939181063316;45.4816333714979;(45.4816333714979, 9.24939181063316)
305;A479;VIA SBODIO GAETANO 4;INDUSTRIALE;SI;3;23;LAMBRATE - ORTICA;9.24610879515414;45.482669511533;(45.482669511533, 9.24610879515414)
306;A481;VIA SBODIO GAETANO 16;RESIDENZIALE;SI;3;23;LAMBRATE - ORTICA;9.2461169057517;45.483260050521;(45.483260050521, 9.2461169057517)
307;A482;VIA SBODIO GAETANO 24;INDUSTRIALE;SI;3;23;LAMBRATE - ORTICA;9.24610237475893;45.4839686272672;(45.4839686272672, 9.24610237475893)
308;A485;VIA SBODIO GAETANO 41;RESIDENZIALE;SI;3;23;LAMBRATE - ORTICA;9.24547730685381;45.4856689260779;(45.4856689260779, 9.24547730685381)
309;A486;VIA FOLLI EGIDIO 30;INDEFINITO/MISTO;SI;3;23;LAMBRATE - ORTICA;9.24594334343392;45.4852559864318;(45.4852559864318, 9.24594334343392)
310;A487;VIA LIVRAGHI GIOVANNI 19;TERZIARIO;SI;2;16;GORLA - PRECOTTO;9.22338242703664;45.5159423755087;(45.5159423755087, 9.22338242703664)
311;A488;VIA RICCIARELLI DANIELE 11;COMMERCIALE;SI;7;57;SAN SIRO;9.14160738946551;45.4712723731621;(45.4712723731621, 9.14160738946551)
312;S491;VIA SAVONA 105;TERZIARIO;SI;6;49;GIAMBELLINO;9.14933622145147;45.4484367148516;(45.4484367148516, 9.14933622145147)
313;S492;VIA SCARSELLINI ANGELO snc;INDUSTRIALE;SI;9;80;AFFORI;9.17180525136832;45.5115253314686;(45.5115253314686, 9.17180525136832)
314;S503;VIA GRATOSOGLIO 63;RESIDENZIALE;SI;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.17100493586936;45.4129077567631;(45.4129077567631, 9.17100493586936)
315;S504;VIA GRATOSOGLIO 65;INDUSTRIALE;SI;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.1707277114838;45.4132173112077;(45.4132173112077, 9.1707277114838)
316;S508;VIA GRASSI GIOVANNI BATTISTA 93;INDUSTRIALE;SI;8;74;ROSERIO;9.11696440761764;45.5189218451391;(45.5189218451391, 9.11696440761764)
317;S514;VIA CAVEZZALI FRANCESCO 11;RESIDENZIALE;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.22915357889783;45.4967088091185;(45.4967088091185, 9.22915357889783)
318;S515;VIA BOLLA 26-28-30-32-34-36-38-40-42;RESIDENZIALE;SI;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.10766038439395;45.5039341475395;(45.5039341475395, 9.10766038439395)
319;S522;VIA SAN CALOCERO 9/A;RESIDENZIALE;SI;1;7;MAGENTA - S. VITTORE;9.17563361492074;45.4580054430907;(45.4580054430907, 9.17563361492074)
320;S525;VIA AZARIO PIETRO 1;RESIDENZIALE;SI;1;7;MAGENTA - S. VITTORE;9.16866609010863;45.459661383154;(45.459661383154, 9.16866609010863)
321;S527;VIA PESTO 1;RESIDENZIALE;SI;6;49;GIAMBELLINO;9.15468924637871;45.4483190704839;(45.4483190704839, 9.15468924637871)
322;S528;VIA DON BOSCO 9/6;RESIDENZIALE;SI;4;35;LODI - CORVETTO;9.21366723878926;45.4447525400974;(45.4447525400974, 9.21366723878926)
323;S530;VIA PASSERINI GIAN BATTISTA 13;RESIDENZIALE;SI;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19240815340937;45.5149922039326;(45.5149922039326, 9.19240815340937)
324;S532;VIA BREDA ERNESTO 41;RESIDENZIALE;SI;2;16;GORLA - PRECOTTO;9.21446578935562;45.5110910858603;(45.5110910858603, 9.21446578935562)
325;S533;VIA TANTARDINI ANTONIO 4;PRODUTTIVO;SI;5;6;PORTA TICINESE - CONCA DEL NAVIGLIO;9.17999580474646;45.4462318261541;(45.4462318261541, 9.17999580474646)
326;S534;VIA ROMILLI ARCIVESCOVO snc;PRODUTTIVO;SI;5;36;SCALO ROMANA;9.21518423551607;45.4386601936588;(45.4386601936588, 9.21518423551607)
327;S563;VLE LIGURIA 21;RESIDENZIALE;SI;6;44;PORTA TICINESE - CONCHETTA;9.17030242444571;45.4447813067161;(45.4447813067161, 9.17030242444571)
328;S565;VLE CERTOSA 155;PRODUTTIVO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13682673168473;45.4964545323761;(45.4964545323761, 9.13682673168473)
329;S566;VIA SILE snc;TERZIARIO;SI;4;35;LODI - CORVETTO;9.22053536866814;45.4394491593294;(45.4394491593294, 9.22053536866814)
330;S569;VIA MEUCCI ANTONIO 40;TERZIARIO;SI;2;17;ADRIANO;9.24313143447498;45.5093275554011;(45.5093275554011, 9.24313143447498)
331;S570;VIA CASSINIS GIOVANNI BATTISTA 76;RICETTIVO;SI;4;35;LODI - CORVETTO;9.23863192391177;45.4329554347092;(45.4329554347092, 9.23863192391177)
332;A596;VIA PONTE DA GIUSCANO 20;PRODUTTIVO;SI;7;63;FIGINO;9.07947273657678;45.4928355905903;(45.4928355905903, 9.07947273657678)
333;A619;VIA PESARO 50;RESIDENZIALE;SI;9;83;BRUZZANO;9.17224410202678;45.5342626412529;(45.5342626412529, 9.17224410202678)
334;A587;VIA ERODOTO 16;PRODUTTIVO;SI;2;16;GORLA - PRECOTTO;9.22094883292378;45.5093593694107;(45.5093593694107, 9.22094883292378)
335;A598;VIA SIMONE MARTINI 3;COMMERCIALE;SI;6;45;MONCUCCO - SAN CRISTOFORO;9.1561613829682;45.4395969039811;(45.4395969039811, 9.1561613829682)
